"","GEOID","B06009_001","B06009_002","B06009_003","B06009_004","B06009_005","B06009_006","B06009_007","B06009_008","B06009_009","B06009_010","B06009_011","B06009_012","B06009_013","B06009_014","B06009_015","B06009_016","B06009_017","B06009_018","B06009_019","B06009_020","B06009_021","B06009_022","B06009_023","B06009_024","B06009_025","B06009_026","B06009_027","B06009_028","B06009_029","B06009_030"
"Atlantic County, New Jersey","34001",186039,29096,62501,49427,29991,15024,81611,9389,30584,22833,13053,5752,59961,6070,19503,17684,10751,5953,6255,2178,2341,1108,476,152,38212,11459,10073,7802,5711,3167
"Bergen County, New Jersey","34003",639683,55514,158217,132558,183132,110262,207992,12264,61484,49131,56492,28621,179769,7271,36415,37478,56405,42200,11293,2337,3011,2416,2209,1320,240629,33642,57307,43533,68026,38121
"Burlington County, New Jersey","34005",309139,24964,93713,83497,69396,37569,129425,9483,45322,35712,26928,11980,135596,8334,37151,38732,32702,18677,6733,915,1955,1878,1191,794,37385,6232,9285,7175,8575,6118
"Camden County, New Jersey","34007",343935,44223,108271,91474,64376,35591,145153,15325,51659,42495,24916,10758,138314,12697,40996,37820,29138,17663,14531,6032,4450,2650,984,415,45937,10169,11166,8509,9338,6755
"Cape May County, New Jersey","34009",70920,7713,25236,17635,13233,7103,26713,2498,9793,7209,5104,2109,39285,3656,14112,9581,7405,4531,745,169,302,174,59,41,4177,1390,1029,671,665,422
"Cumberland County, New Jersey","34011",104877,24157,41660,24061,10788,4211,61434,10020,26826,15760,6643,2185,23180,4311,9030,5755,2736,1348,7203,3489,2309,1089,285,31,13060,6337,3495,1457,1124,647
"Essex County, New Jersey","34013",517705,85324,150128,116479,99960,65814,209165,22959,67767,54510,41882,22047,119075,12845,26861,24911,29270,25188,21035,8344,6512,3511,1674,994,168430,41176,48988,33547,27134,17585
"Gloucester County, New Jersey","34015",192982,17534,66738,53995,37732,16983,92739,7319,34581,26526,17410,6903,84395,6996,28436,24106,16731,8126,2723,493,722,824,360,324,13125,2726,2999,2539,3231,1630
"Hudson County, New Jersey","34017",449940,81615,116322,88880,103226,59897,116256,13148,38329,26328,26753,11698,80710,6313,14550,17130,27307,15410,21946,7857,6860,3867,2165,1197,231028,54297,56583,41555,47001,31592
"Hunterdon County, New Jersey","34019",88477,5173,20238,20986,24903,17177,47826,2564,13415,11979,13100,6768,30212,1080,5053,6729,9419,7931,1144,161,89,351,201,342,9295,1368,1681,1927,2183,2136
"Mercer County, New Jersey","34021",245078,31166,63728,55048,51057,44079,106717,10453,35324,29774,20357,10809,66291,4668,12505,13769,17540,17809,7361,2244,2311,1631,733,442,64709,13801,13588,9874,12427,15019
"Middlesex County, New Jersey","34023",549515,61362,148056,119597,132877,87623,194777,13666,71606,52423,39807,17275,120867,7358,32153,31677,28719,20960,14769,4925,4820,2457,1677,890,219102,35413,39477,33040,62674,48498
"Monmouth County, New Jersey","34025",432188,33567,112345,107552,111745,66979,201285,10969,59193,52470,53465,25188,151819,7078,33356,39985,42391,29009,6041,1242,1901,1366,967,565,73043,14278,17895,13731,14922,12217
"Morris County, New Jersey","34027",342610,22325,78832,70070,101736,69647,164662,6896,44692,38256,49071,25747,92697,2648,15204,17619,31675,25551,5069,716,1295,1355,978,725,80182,12065,17641,12840,20012,17624
"Ocean County, New Jersey","34029",399636,40946,149335,107660,68392,33303,229995,18195,93198,62936,39210,16456,123249,10075,42867,34778,21954,13575,6972,1604,2035,1856,1046,431,39420,11072,11235,8090,6182,2841
"Passaic County, New Jersey","34031",326833,59136,114619,69334,55435,28309,131028,12739,49258,31266,26064,11701,51328,4982,14390,13073,11454,7429,22978,9844,7785,3182,1510,657,121499,31571,43186,21813,16407,8522
"Salem County, New Jersey","34033",45144,6308,17342,12304,6668,2522,27149,3506,11540,7303,3695,1105,14867,1790,4799,4469,2551,1258,667,186,242,137,99,3,2461,826,761,395,323,156
"Somerset County, New Jersey","34035",223940,15186,49335,44894,63717,50808,91352,4306,23138,22606,26991,14311,61572,2309,10734,11913,19600,17016,3028,517,844,544,783,340,67988,8054,14619,9831,16343,19141
"Sussex County, New Jersey","34037",102089,6706,31865,30437,22301,10780,62416,3980,21843,18772,12856,4965,29059,1204,7298,8995,7411,4151,1129,180,355,428,86,80,9485,1342,2369,2242,1948,1584
"Union County, New Jersey","34039",362624,53180,109069,85106,70764,44505,140773,9222,46935,37213,31105,16298,75005,5554,16610,17055,20131,15655,10171,2737,3358,2393,1094,589,136675,35667,42166,28445,18434,11963
"Warren County, New Jersey","34041",74392,7692,26078,18589,14790,7243,43928,4546,16978,10795,8320,3289,20888,1298,6434,5599,4615,2942,1037,181,316,287,137,116,8539,1667,2350,1908,1718,896
