"","GEOID","B06001_001","B06001_002","B06001_003","B06001_004","B06001_005","B06001_006","B06001_007","B06001_008","B06001_009","B06001_010","B06001_011","B06001_012","B06001_013","B06001_014","B06001_015","B06001_016","B06001_017","B06001_018","B06001_019","B06001_020","B06001_021","B06001_022","B06001_023","B06001_024","B06001_025","B06001_026","B06001_027","B06001_028","B06001_029","B06001_030","B06001_031","B06001_032","B06001_033","B06001_034","B06001_035","B06001_036","B06001_037","B06001_038","B06001_039","B06001_040","B06001_041","B06001_042","B06001_043","B06001_044","B06001_045","B06001_046","B06001_047","B06001_048","B06001_049","B06001_050","B06001_051","B06001_052","B06001_053","B06001_054","B06001_055","B06001_056","B06001_057","B06001_058","B06001_059","B06001_060"
"Madison County School District, Georgia","1303480",27798,1703,5173,2253,3395,3880,4390,1972,668,790,2193,1381,21043,1636,4475,1692,2597,2606,2773,1518,493,654,1621,978,5951,67,619,438,633,1097,1407,426,175,124,562,403,83,0,8,0,0,14,33,28,0,0,0,0,721,0,71,123,165,163,177,0,0,12,10,0
"Marietta City School District, Georgia","1303510",57244,4996,8095,7643,11516,8387,6755,2092,1236,1026,2465,3033,20293,3938,4902,2230,2235,1593,1665,661,293,496,939,1341,22635,836,2214,2623,4560,4030,3490,1085,682,452,1213,1450,834,34,44,147,101,143,171,164,15,0,0,15,13482,188,935,2643,4620,2621,1429,182,246,78,313,227
"Marion County School District, Georgia","1303540",8403,365,1782,748,575,1185,1513,498,292,336,858,251,5779,297,1414,569,320,825,861,397,235,182,466,213,2095,57,307,130,174,166,580,87,37,147,390,20,159,5,23,0,5,89,21,0,16,0,0,0,370,6,38,49,76,105,51,14,4,7,2,18
"Mcduffie County School District, Georgia","1303570",21719,1635,4172,1802,2529,2857,3137,1389,501,857,1684,1156,17092,1547,3804,1464,1883,2281,2107,1077,345,623,1126,835,4260,88,330,296,550,472,957,312,156,234,558,307,95,0,30,15,0,11,39,0,0,0,0,0,272,0,8,27,96,93,34,0,0,0,0,14
"Mcintosh County School District, Georgia","1303600",13817,792,2396,1378,1093,1785,2141,1120,320,608,1447,737,10234,766,1994,992,730,1174,1593,935,77,394,1028,551,3338,26,377,309,363,604,523,179,227,165,419,146,53,0,0,29,0,7,11,6,0,0,0,0,192,0,25,48,0,0,14,0,16,49,0,40
"Meriwether County School District, Georgia","1303630",22425,1461,4093,1929,2584,2748,3303,1832,436,673,1957,1409,19002,1360,3935,1729,2285,2255,2651,1425,332,576,1304,1150,3168,101,158,163,221,442,641,387,102,94,602,257,46,0,0,21,16,0,9,0,0,0,0,0,209,0,0,16,62,51,2,20,2,3,51,2
"Miller County School District, Georgia","1303660",6128,414,1051,439,701,844,797,439,99,191,595,558,5042,384,884,388,552,637,639,395,83,155,470,455,994,30,167,51,145,207,121,42,16,36,76,103,6,0,0,0,4,0,0,2,0,0,0,0,86,0,0,0,0,0,37,0,0,0,49,0
"Mitchell County School District, Georgia","1303690",19742,1443,3682,1633,2400,3086,2904,1159,493,614,1348,980,16433,1425,3441,1375,1912,2398,2199,922,410,446,1163,742,2788,18,202,221,393,443,675,229,83,152,173,199,36,0,0,0,0,29,0,0,0,7,0,0,485,0,39,37,95,216,30,8,0,9,12,39
"Monroe County School District, Georgia","1303720",25864,1476,4562,2404,2750,3608,4311,2058,494,872,1950,1379,19658,1396,3980,1899,2036,2558,3046,1571,330,557,1292,993,5619,73,531,449,620,849,1171,446,164,315,615,386,194,0,22,32,47,75,18,0,0,0,0,0,393,7,29,24,47,126,76,41,0,0,43,0
"Montgomery County School District, Georgia","1303750",8887,484,1483,1359,1035,1177,1203,488,242,297,715,404,7131,455,1357,1027,694,846,892,448,189,252,623,348,1313,16,84,165,169,298,308,31,53,45,92,52,14,2,0,8,0,4,0,0,0,0,0,0,429,11,42,159,172,29,3,9,0,0,0,4
