"","GEOID","B06010_001","B06010_002","B06010_003","B06010_004","B06010_005","B06010_006","B06010_007","B06010_008","B06010_009","B06010_010","B06010_011","B06010_012","B06010_013","B06010_014","B06010_015","B06010_016","B06010_017","B06010_018","B06010_019","B06010_020","B06010_021","B06010_022","B06010_023","B06010_024","B06010_025","B06010_026","B06010_027","B06010_028","B06010_029","B06010_030","B06010_031","B06010_032","B06010_033","B06010_034","B06010_035","B06010_036","B06010_037","B06010_038","B06010_039","B06010_040","B06010_041","B06010_042","B06010_043","B06010_044","B06010_045","B06010_046","B06010_047","B06010_048","B06010_049","B06010_050","B06010_051","B06010_052","B06010_053","B06010_054","B06010_055"
"Stewart County School District, Georgia","1304590",4692,743,3949,1174,690,597,591,542,207,53,95,3619,566,3053,851,556,481,489,410,174,19,73,1035,157,878,311,134,116,102,126,33,34,22,12,0,12,6,0,0,0,6,0,0,0,26,20,6,6,0,0,0,0,0,0,0
"Sumter County School District, Georgia","1304620",25750,3983,21767,6503,2802,4069,3219,2397,1289,528,960,19998,3242,16756,5340,2184,3228,2578,1618,953,287,568,4400,453,3947,944,454,551,545,627,314,160,352,156,45,111,32,10,19,32,12,0,6,0,1196,243,953,187,154,271,64,140,22,75,40
"Talbot County School District, Georgia","1304650",5697,798,4899,1269,751,1036,583,737,222,102,199,4660,654,4006,1066,631,851,510,573,206,65,104,1010,144,866,188,119,185,67,159,16,37,95,10,0,10,10,0,0,0,0,0,0,0,17,0,17,5,1,0,6,5,0,0,0
"Taliaferro County School District, Georgia","1304680",1713,421,1292,440,252,189,221,86,21,21,62,1329,292,1037,352,210,161,172,70,16,21,35,329,105,224,81,42,28,27,16,5,0,25,1,0,1,0,0,0,1,0,0,0,0,54,24,30,7,0,0,21,0,0,0,2
"Tattnall County School District, Georgia","1304770",19889,4614,15275,4820,2024,2232,2369,1713,1108,405,604,13571,3106,10465,3037,1184,1495,1741,1335,835,321,517,4567,958,3609,1360,630,411,499,328,249,59,73,244,34,210,73,0,64,10,0,24,25,14,1507,516,991,350,210,262,119,50,0,0,0
"Taylor County School District, Georgia","1304800",7045,1753,5292,1741,666,1101,557,641,288,101,197,6035,1553,4482,1442,604,946,442,538,285,88,137,853,144,709,285,62,102,103,81,3,13,60,62,48,14,14,0,0,0,0,0,0,0,95,8,87,0,0,53,12,22,0,0,0
"Telfair County School District, Georgia","1304830",13401,3743,9658,3192,1538,1496,1576,1056,443,161,196,9604,2157,7447,2332,1220,1106,1331,847,342,118,151,1823,799,1024,397,86,149,156,110,67,24,35,27,18,9,0,9,0,0,0,0,0,0,1947,769,1178,463,223,241,89,99,34,19,10
"Terrell County School District, Georgia","1304860",7601,1539,6062,1777,976,1289,697,617,370,93,243,6377,1323,5054,1531,901,1032,527,538,275,70,180,988,164,824,206,75,217,141,53,79,17,36,18,0,18,12,0,0,0,0,0,6,0,218,52,166,28,0,40,29,26,16,0,27
"Thomas County School District, Georgia","1304890",20903,3933,16970,4150,2125,3168,2191,2331,1173,524,1308,13937,2625,11312,2821,1586,2092,1368,1598,756,334,757,6268,1178,5090,1194,519,884,746,650,398,185,514,176,39,137,34,0,10,0,64,2,0,27,522,91,431,101,20,182,77,19,17,5,10
"Thomasville City School District, Georgia","1304950",14300,2216,12084,3504,1614,2265,1552,1341,758,317,733,9843,1689,8154,2537,1162,1771,945,721,538,120,360,4025,460,3565,899,344,482,502,567,220,185,366,33,0,33,0,0,0,9,24,0,0,0,399,67,332,68,108,12,96,29,0,12,7
"Tift County School District, Georgia","1304980",31089,4173,26916,7614,3181,5633,3253,3181,1859,724,1471,21273,2905,18368,5320,2346,3614,2387,2060,1235,438,968,7227,1036,6191,1694,553,1257,664,778,534,235,476,138,12,126,12,0,15,27,38,19,0,15,2451,220,2231,588,282,747,175,305,71,51,12
"Toombs County School District, Georgia","1305040",12630,2124,10506,2633,1426,2038,1550,1226,867,293,473,8959,1302,7657,1917,1030,1369,1073,928,677,282,381,2296,484,1812,458,235,370,168,291,187,11,92,163,50,113,4,0,59,47,0,3,0,0,1212,288,924,254,161,240,262,7,0,0,0
"Towns County School District, Georgia","1305070",9124,795,8329,2240,954,1785,1260,1042,548,105,395,4559,433,4126,1112,541,901,664,584,230,10,84,4319,325,3994,1037,365,848,594,458,286,95,311,40,0,40,23,15,0,2,0,0,0,0,206,37,169,68,33,36,0,0,32,0,0
"Treutlen County School District, Georgia","1305100",5370,1197,4173,1075,632,630,792,452,315,85,192,4614,978,3636,984,483,554,674,411,260,85,185,665,219,446,74,149,76,66,41,33,0,7,45,0,45,17,0,0,28,0,0,0,0,46,0,46,0,0,0,24,0,22,0,0
"Trion City School District, Georgia","1305130",1742,125,1617,341,224,440,301,234,37,15,25,1122,62,1060,279,136,251,181,157,37,4,15,378,23,355,27,69,76,105,57,0,11,10,36,0,36,0,0,16,0,20,0,0,0,206,40,166,35,19,97,15,0,0,0,0
"Turner County School District, Georgia","1305190",6951,982,5969,1639,1155,1123,717,663,233,270,169,5959,797,5162,1419,1044,927,601,640,169,213,149,806,137,669,212,91,163,77,23,64,30,9,32,0,32,0,0,0,5,0,0,27,0,154,48,106,8,20,33,34,0,0,0,11
"Twiggs County School District, Georgia","1305220",7767,1688,6079,1797,1035,1175,767,622,295,166,222,6689,1493,5196,1688,870,1049,564,519,201,135,170,984,195,789,98,165,108,185,60,94,31,48,11,0,11,11,0,0,0,0,0,0,0,83,0,83,0,0,18,18,43,0,0,4
"Union County School District, Georgia","1305250",17976,1823,16153,3755,2439,2724,2461,2145,1105,266,1258,8759,1147,7612,1921,1147,1162,1085,1151,430,133,583,8514,676,7838,1687,1168,1484,1273,951,568,116,591,245,0,245,0,31,54,79,0,46,17,18,458,0,458,147,93,24,24,43,61,0,66
"Upson County School District, Georgia","1305280",21920,2759,19161,5329,2696,3764,2654,2594,1145,293,686,18267,2298,15969,4589,2132,3142,2309,2176,935,173,513,3110,291,2819,639,429,570,320,404,196,113,148,23,13,10,8,0,0,2,0,0,0,0,520,157,363,93,135,52,23,14,14,7,25
"Valdosta City School District, Georgia","1305310",41871,6305,35566,12052,4969,5713,4249,4112,1768,628,2075,24966,4270,20696,7990,3011,3238,2324,2036,786,266,1045,14219,1575,12644,3564,1406,2091,1724,1899,794,322,844,501,85,416,127,36,48,99,32,43,0,31,2185,375,1810,371,516,336,102,145,145,40,155
"Vidalia City School District, Georgia","1305340",8266,1043,7223,2313,959,1114,1019,694,548,113,463,6033,614,5419,1797,687,794,816,513,408,92,312,1869,324,1545,460,238,236,183,116,140,21,151,53,40,13,13,0,0,0,0,0,0,0,311,65,246,43,34,84,20,65,0,0,0
"Walker County School District, Georgia","1305370",52029,6763,45266,11720,5895,8641,7234,5660,3305,1087,1724,25138,3896,21242,5857,2658,4131,3405,2663,1500,434,594,25836,2762,23074,5669,3159,4288,3711,2817,1711,592,1127,328,8,320,76,2,66,34,85,57,0,0,727,97,630,118,76,156,84,95,37,61,3
"Walton County School District, Georgia","1305390",59872,7728,52144,10502,5590,9128,7655,8330,5249,1836,3854,36946,5045,31901,6975,3495,5882,4670,4975,2788,1164,1952,19606,2124,17482,3035,1725,2605,2645,2934,2110,611,1817,636,106,530,185,13,64,87,118,40,0,23,2684,453,2231,307,357,577,253,303,311,61,62
"Ware County School District, Georgia","1305430",28771,5006,23765,6392,3524,4183,3431,3125,1448,480,1182,21156,3600,17556,4604,2491,3357,2676,2317,960,340,811,6568,1218,5350,1597,916,698,599,746,394,119,281,96,28,68,27,6,11,2,0,22,0,0,951,160,791,164,111,117,154,62,72,21,90
"Warren County School District, Georgia","1305460",4776,853,3923,1226,495,713,690,521,132,67,79,4240,801,3439,1087,462,604,616,444,114,51,61,518,52,466,134,30,99,74,77,18,16,18,15,0,15,5,0,10,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0
