"","GEOID","B06009_001","B06009_002","B06009_003","B06009_004","B06009_005","B06009_006","B06009_007","B06009_008","B06009_009","B06009_010","B06009_011","B06009_012","B06009_013","B06009_014","B06009_015","B06009_016","B06009_017","B06009_018","B06009_019","B06009_020","B06009_021","B06009_022","B06009_023","B06009_024","B06009_025","B06009_026","B06009_027","B06009_028","B06009_029","B06009_030"
"Stewart County School District, Georgia","1304590",4021,1191,1531,857,257,185,3129,1011,1108,662,193,155,854,180,417,179,48,30,12,0,6,6,0,0,26,0,0,10,16,0
"Sumter County School District, Georgia","1304620",19989,4923,6696,4586,2231,1553,15118,4180,5254,3549,1290,845,3877,587,1203,873,729,485,94,3,9,53,29,0,900,153,230,111,183,223
"Talbot County School District, Georgia","1304650",4907,1046,2314,1013,249,285,4039,1011,1959,668,158,243,851,31,349,340,89,42,0,0,0,0,0,0,17,4,6,5,2,0
"Taliaferro County School District, Georgia","1304680",1433,596,538,201,65,33,1105,514,386,164,21,20,284,75,145,24,29,11,1,0,1,0,0,0,43,7,6,13,15,2
"Tattnall County School District, Georgia","1304770",16179,4201,7338,2714,1144,782,11111,2962,5193,1683,682,591,3799,642,1708,977,337,135,171,17,57,37,50,10,1098,580,380,17,75,46
"Taylor County School District, Georgia","1304800",5934,2166,2115,1213,323,117,4992,1792,1925,1026,183,66,785,302,140,187,140,16,62,56,6,0,0,0,95,16,44,0,0,35
"Telfair County School District, Georgia","1304830",11249,3500,5064,1771,481,433,7819,2335,3658,1251,265,310,1578,447,567,301,166,97,9,0,0,9,0,0,1843,718,839,210,50,26
"Terrell County School District, Georgia","1304860",6224,2126,2036,1448,284,330,5142,1836,1812,1167,118,209,864,256,180,255,130,43,18,0,12,6,0,0,200,34,32,20,36,78
"Thomas County School District, Georgia","1304890",17709,3585,6836,4547,1843,898,11863,2614,4823,2886,1088,452,5253,794,1796,1561,694,408,176,24,88,23,41,0,417,153,129,77,20,38
"Thomasville City School District, Georgia","1304950",11809,1907,4258,2608,1727,1309,8021,1597,3047,1752,962,663,3461,218,1075,807,746,615,33,0,12,9,12,0,294,92,124,40,7,31
"Tift County School District, Georgia","1304980",24801,5986,7658,7117,2282,1758,16522,3764,5543,4950,1325,940,6136,1112,1618,1978,784,644,98,14,23,36,14,11,2045,1096,474,153,159,163
"Toombs County School District, Georgia","1305040",10537,2445,4315,2556,865,356,7525,1661,3041,1904,634,285,1901,279,727,593,231,71,109,0,59,50,0,0,1002,505,488,9,0,0
"Towns County School District, Georgia","1305070",7691,1041,2874,2179,952,645,3425,684,1469,813,277,182,4096,308,1370,1300,655,463,17,0,2,15,0,0,153,49,33,51,20,0
"Treutlen County School District, Georgia","1305100",4552,1227,1966,910,340,109,3896,1066,1690,811,227,102,582,161,252,71,91,7,28,0,0,28,0,0,46,0,24,0,22,0
"Trion City School District, Georgia","1305130",1502,307,571,475,81,68,1013,193,401,323,66,30,324,51,88,152,15,18,36,16,0,0,0,20,129,47,82,0,0,0
"Turner County School District, Georgia","1305190",5732,1804,1964,1205,415,344,4858,1563,1739,959,343,254,698,152,218,231,72,25,32,0,0,5,0,27,144,89,7,10,0,38
"Twiggs County School District, Georgia","1305220",6352,2453,2508,967,346,78,5392,2214,2170,709,243,56,884,239,338,182,103,22,11,0,0,11,0,0,65,0,0,65,0,0
"Union County School District, Georgia","1305250",16053,2747,4644,5200,2145,1317,7595,1768,2118,2311,768,630,7769,765,2383,2804,1200,617,245,73,49,17,92,14,444,141,94,68,85,56
"Upson County School District, Georgia","1305280",18314,4371,7329,4539,1274,801,15024,3777,6312,3468,904,563,2893,463,931,991,337,171,15,0,15,0,0,0,382,131,71,80,33,67
"Valdosta City School District, Georgia","1305310",27580,5202,8421,7424,3959,2574,15862,3521,5344,3626,2139,1232,9794,1059,2667,3360,1522,1186,234,33,54,114,22,11,1690,589,356,324,276,145
"Vidalia City School District, Georgia","1305340",6587,938,2528,1818,721,582,4740,711,1760,1329,501,439,1523,194,528,458,200,143,13,0,13,0,0,0,311,33,227,31,20,0
