"","GEOID","B06012_001","B06012_002","B06012_003","B06012_004","B06012_005","B06012_006","B06012_007","B06012_008","B06012_009","B06012_010","B06012_011","B06012_012","B06012_013","B06012_014","B06012_015","B06012_016","B06012_017","B06012_018","B06012_019","B06012_020"
"Stewart County School District, Georgia","1304590",5693,1380,737,3576,4588,1181,633,2774,1057,185,104,768,22,0,0,22,26,14,0,12
"Sumter County School District, Georgia","1304620",31788,8536,4399,18853,25894,7410,3851,14633,4478,757,434,3287,156,57,10,89,1260,312,104,844
"Talbot County School District, Georgia","1304650",6911,1621,893,4397,5738,1475,822,3441,1147,146,71,930,10,0,0,10,16,0,0,16
"Taliaferro County School District, Georgia","1304680",2031,699,497,835,1533,557,297,679,444,142,200,102,0,0,0,0,54,0,0,54
"Tattnall County School District, Georgia","1304770",21539,4616,2841,14082,15502,3383,1329,10790,4389,785,925,2679,222,97,30,95,1426,351,557,518
"Taylor County School District, Georgia","1304800",8361,2769,1241,4351,7280,2355,1104,3821,932,344,93,495,54,54,0,0,95,16,44,35
"Telfair County School District, Georgia","1304830",12991,4067,1696,7228,11127,3297,1354,6476,1395,548,187,660,17,17,0,0,452,205,155,92
"Terrell County School District, Georgia","1304860",8961,2777,1357,4827,7676,2568,1146,3962,1046,174,167,705,6,0,0,6,233,35,44,154
"Thomas County School District, Georgia","1304890",25715,4952,3158,17605,17660,3611,2261,11788,7343,1196,790,5357,176,35,0,141,536,110,107,319
"Thomasville City School District, Georgia","1304950",17755,4941,2021,10793,12754,3898,1547,7309,4550,966,426,3158,33,0,0,33,418,77,48,293
"Tift County School District, Georgia","1304980",39034,8919,4753,25362,28457,6710,3483,18264,7782,1390,799,5593,229,12,30,187,2566,807,441,1318
"Toombs County School District, Georgia","1305040",16526,4290,2116,10120,12457,2754,1579,8124,2563,731,329,1503,163,0,0,163,1343,805,208,330
"Towns County School District, Georgia","1305070",9519,884,1351,7284,4974,455,843,3676,4367,385,488,3494,19,17,0,2,159,27,20,112
"Treutlen County School District, Georgia","1305100",6525,1609,1153,3763,5773,1425,1025,3323,661,184,128,349,45,0,0,45,46,0,0,46
"Trion City School District, Georgia","1305130",2684,810,321,1553,1894,502,214,1178,481,107,81,293,36,0,0,36,273,201,26,46
"Turner County School District, Georgia","1305190",8393,2130,1280,4983,7205,1795,997,4413,996,283,275,438,32,0,0,32,160,52,8,100
"Twiggs County School District, Georgia","1305220",9327,1981,1455,5891,8176,1867,1276,5033,1057,103,179,775,11,11,0,0,83,0,0,83
"Union County School District, Georgia","1305250",20607,2858,1914,15835,11193,1780,1229,8184,8732,910,685,7137,245,0,0,245,437,168,0,269
"Upson County School District, Georgia","1305280",26803,5385,3441,17977,22566,4328,2877,15361,3641,779,492,2370,46,31,0,15,550,247,72,231
"Valdosta City School District, Georgia","1305310",49827,14745,6790,28292,32112,10895,4803,16414,14866,3434,1481,9951,621,95,91,435,2228,321,415,1492
"Vidalia City School District, Georgia","1305340",10394,2568,1439,6387,7998,2130,1181,4687,2032,425,165,1442,53,13,0,40,311,0,93,218
"Walker County School District, Georgia","1305370",63480,9829,8791,44860,31451,5904,4503,21044,30948,3827,4017,23104,388,2,119,267,693,96,152,445
"Walton County School District, Georgia","1305390",76550,9261,6857,60432,51620,6211,5549,39860,21280,2203,1095,17982,810,107,37,666,2840,740,176,1924
"Ware County School District, Georgia","1305430",33528,6869,3770,22889,25531,4988,2940,17603,6879,1630,804,4445,98,63,0,35,1020,188,26,806
"Warren County School District, Georgia","1305460",5827,1500,588,3739,5293,1395,489,3409,516,105,91,320,15,0,5,10,3,0,3,0
"Washington County School District, Georgia","1305490",19767,5464,2772,11531,17097,4735,2392,9970,2383,615,370,1398,114,17,10,87,173,97,0,76
"Wayne County School District, Georgia","1305550",27293,5003,4403,17887,20666,3791,3209,13666,5516,968,1001,3547,234,93,12,129,877,151,181,545
"Webster County School District, Georgia","1305580",2727,644,552,1531,2266,523,500,1243,368,111,3,254,0,0,0,0,93,10,49,34
"Wheeler County School District, Georgia","1305640",4784,1164,501,3119,4365,1058,483,2824,353,106,13,234,23,0,0,23,43,0,5,38
