"","GEOID","B06011_001","B06011_002","B06011_003","B06011_004","B06011_005"
"Stewart County School District, Georgia","1304590",16206,16472,14819,20000,8125
"Sumter County School District, Georgia","1304620",18599,17298,25400,19276,19957
"Tattnall County School District, Georgia","1304770",18011,21168,12716,16429,11988
"Terrell County School District, Georgia","1304860",16451,15635,19609,4375,27206
"Thomas County School District, Georgia","1304890",21524,20561,24071,48025,20025
"Thomasville City School District, Georgia","1304950",18388,16615,25777,36563,14324
"Tift County School District, Georgia","1304980",19175,18665,21417,42250,16986
"Toombs County School District, Georgia","1305040",19661,20324,20090,21146,16416
"Towns County School District, Georgia","1305070",20463,19923,21593,2499,12426
"Treutlen County School District, Georgia","1305100",21144,21291,15000,30156,27396
"Trion City School District, Georgia","1305130",20900,20754,25417,42750,20139
"Turner County School District, Georgia","1305190",16659,16341,17316,71019,16894
"Union County School District, Georgia","1305250",21118,20146,21615,30505,14052
"Upson County School District, Georgia","1305280",18737,19002,18817,2499,14015
"Valdosta City School District, Georgia","1305310",16146,13644,21206,24464,15395
"Walker County School District, Georgia","1305370",20417,20102,20627,32105,19697
"Walton County School District, Georgia","1305390",25872,24018,30193,25203,23399
"Ware County School District, Georgia","1305430",19596,20077,17649,20227,25088
"Washington County School District, Georgia","1305490",17593,17043,21667,15664,22171
"Wayne County School District, Georgia","1305550",19125,20134,17934,19519,15329
"White County School District, Georgia","1305670",23238,23540,23279,6484,22127
"Whitfield County School District, Georgia","1305700",21920,22023,23159,41149,20289
"Wilkes County School District, Georgia","1305760",15053,15139,14147,53478,22583
"Wilkinson County School District, Georgia","1305790",21938,21235,26215,34405,19205
"Worth County School District, Georgia","1305850",19529,18287,25565,34432,19830
"Remainder of Georgia, Georgia","1399999",22615,26412,21724,36475,25543
"Troup County School District, Georgia","1300001",20500,19925,22058,43804,18844
"Fort Stewart School District, Georgia","1300003",24723,20156,25330,23654,17500
"Robins AFB School District, Georgia","1300004",22362,21685,23407,15500,28333
"Atkinson County School District, Georgia","1300090",18916,20352,15500,87250,15755
"Atlanta City School District, Georgia","1300120",26444,18595,38476,35500,23058
"Baldwin County School District, Georgia","1300210",20098,19684,20797,25099,28403
"Banks County School District, Georgia","1300240",21252,21581,17418,35417,27037
"Barrow County School District, Georgia","1300290",25150,22986,30552,38173,20622
"Bartow County School District, Georgia","1300330",25469,23901,29866,29273,20291
"Berrien County School District, Georgia","1300390",18791,18100,22620,17414,15529
"Bibb County School District, Georgia","1300420",21105,19404,27120,25729,21018
"Brantley County School District, Georgia","1300480",21235,21998,19631,7132,14250
"Brooks County School District, Georgia","1300540",19415,18493,23820,32050,15387
"Bryan County School District, Georgia","1300570",30229,25947,35669,48030,22917
"Buford City School District, Georgia","1300600",18643,19760,25792,22150,15832
"Bulloch County School District, Georgia","1300630",16372,16024,17557,4669,18488
"Burke County School District, Georgia","1300660",18455,17861,20625,26917,9276
"Butts County School District, Georgia","1300690",24706,23465,28407,11900,18430
"Camden County School District, Georgia","1300780",25093,21083,27149,23152,25068
"Carroll County School District, Georgia","1300840",24409,23299,27201,27564,17466
"Carrollton City School District, Georgia","1300870",15905,16552,16904,18533,11662
"Catoosa County School District, Georgia","1300930",25480,24491,25921,35662,24542
"Chatham County School District, Georgia","1301020",24898,21599,30556,25510,22771
"Chattahoochee County School District, Georgia","1301050",19563,19135,21324,7692,27679
"Chattooga County School District, Georgia","1301080",19081,18196,21658,21389,14987
"Cherokee County School District, Georgia","1301110",32334,28023,38071,33664,25089
"Clarke County School District, Georgia","1301170",17485,15055,21400,18828,20038
"Clayton County School District, Georgia","1301230",25070,23454,27993,25287,21359
"Cobb County School District, Georgia","1301290",33937,28252,40698,34114,26305
"Coffee County School District, Georgia","1301350",20403,20076,24143,31875,15214
"Colquitt County School District, Georgia","1301380",18934,18667,21134,26655,17820
"Columbia County School District, Georgia","1301410",32149,28069,36023,33731,29481
"Commerce City School District, Georgia","1301440",17081,15813,21544,7250,11435
"Cook County School District, Georgia","1301470",18508,17634,20165,37813,19057
"Coweta County School District, Georgia","1301500",30126,25801,36894,30639,22268
"Crisp County School District, Georgia","1301560",18344,17478,21031,102750,11103
"Dade County School District, Georgia","1301590",18944,17064,20366,21250,5771
"Dalton City School District, Georgia","1301620",21694,21932,24120,31250,19924
"Dawson County School District, Georgia","1301650",25289,22682,28472,32303,18633
"Decatur City School District, Georgia","1301680",40059,22046,50588,80000,25919
"Decatur County School District, Georgia","1301710",19626,18762,22240,40089,24423
"DeKalb County School District, Georgia","1301740",28112,25340,34988,32049,20680
"Dougherty School District, Georgia","1301830",18900,17751,23161,19167,13709
"Douglas County School District, Georgia","1301860",30126,26590,33157,31066,26140
"Dublin City School District, Georgia","1301870",19892,17917,25507,11250,14808
"Laurens County School District, Georgia","1301890",23829,23593,24375,45455,21250
"Effingham County School District, Georgia","1301980",29025,26462,32131,36375,29653
"Elbert County School District, Georgia","1302010",18290,17968,18719,12009,25386
"Emanuel County School District, Georgia","1302040",16848,16733,19245,26250,16277
"Evans County School District, Georgia","1302070",20791,21764,25250,24205,15267
"Fayette County School District, Georgia","1302130",36626,29561,41897,46424,34858
"Floyd County School District, Georgia","1302190",22475,22303,24580,14219,20210
"Forsyth County School District, Georgia","1302220",39094,32444,46916,49152,27248
"Franklin County School District, Georgia","1302250",20106,20028,20818,43319,16401
"Fulton County School District, Georgia","1302280",36448,28895,44141,37764,29216
"Gainesville City School District, Georgia","1302310",21443,21326,28568,28364,19493
"Gilmer County School District, Georgia","1302340",19542,17992,21907,11875,18087
"Glascock County School District, Georgia","1302370",20732,20604,17237,25598,10833
"Glynn County School District, Georgia","1302400",25889,23169,31393,26188,20077
"Gordon County School District, Georgia","1302430",23184,23170,25902,35347,19844
"Grady County School District, Georgia","1302460",18747,18331,20744,2499,18341
"Greene County School District, Georgia","1302490",18535,16472,26341,6944,30694
"Spalding County School District, Georgia","1302520",21181,19960,25665,31069,15515
"Gwinnett County School District, Georgia","1302550",30726,30082,38318,32762,23081
"Habersham County School District, Georgia","1302580",19954,18670,23744,21000,19485
"Hall County School District, Georgia","1302610",26975,25885,32350,29803,20946
"Haralson County School District, Georgia","1302670",19203,18609,21053,19091,14875
"Harris County School District, Georgia","1302700",30884,26452,37487,49569,17174
"Hart County School District, Georgia","1302730",19705,17589,22121,33875,7389
"Heard County School District, Georgia","1302790",19482,18803,24091,18030,14583
"Henry County School District, Georgia","1302820",32488,29962,37011,35054,25806
"Houston County School District, Georgia","1302880",28839,25144,34126,26164,21100
"Jackson County School District, Georgia","1302940",26315,25058,30688,16445,18414
"Jasper County School District, Georgia","1302970",22155,21683,24583,20625,11909
"Jeff Davis County School District, Georgia","1303000",20604,20759,16614,20000,21157
"Jefferson County School District, Georgia","1303060",17498,16183,26964,47792,16935
"Jenkins County School District, Georgia","1303090",16346,15385,19536,32228,20045
"Jones County School District, Georgia","1303150",25501,23527,31633,65469,34926
"Lamar County School District, Georgia","1303210",18602,17712,22088,32315,22056
"Lee County School District, Georgia","1303270",30243,26559,39372,57778,16724
"Liberty County School District, Georgia","1303300",24502,19302,28515,11540,23326
"Lincoln County School District, Georgia","1303330",18962,17194,21241,60677,27500
"Long County School District, Georgia","1303360",20083,20618,20295,25200,18415
"Lowndes County School District, Georgia","1303390",23093,21924,27348,19087,17296
"Lumpkin County School District, Georgia","1303420",20310,17470,24897,16036,18827
"Macon County School District, Georgia","1303450",17106,16424,19786,54460,14464
"Madison County School District, Georgia","1303480",22989,22269,26551,43348,21104
"Marietta City School District, Georgia","1303510",25556,26916,31146,28274,17987
"Marion County School District, Georgia","1303540",21735,22069,21604,55814,20190
"Mcduffie County School District, Georgia","1303570",19293,17536,22375,14306,21113
"Mcintosh County School District, Georgia","1303600",20126,19329,21492,14784,15600
"Meriwether County School District, Georgia","1303630",19843,18674,24710,14545,23704
"Miller County School District, Georgia","1303660",19403,19225,20727,30625,4235
"Mitchell County School District, Georgia","1303690",19722,20086,19081,50156,17230
"Monroe County School District, Georgia","1303720",24821,23709,27739,37581,34104
"Montgomery County School District, Georgia","1303750",20330,21008,21406,2499,11640
"Morgan County School District, Georgia","1303780",21954,19282,31732,33179,31080
"Murray County School District, Georgia","1303840",22120,21342,23657,9919,24375
"Muscogee County School District, Georgia","1303870",23587,20713,26735,26139,21847
"Newton County School District, Georgia","1303930",25842,24532,28670,35915,22762
"Oconee County School District, Georgia","1303960",33941,28187,45207,56490,40174
"Oglethorpe County School District, Georgia","1303990",20200,18940,22331,16603,35679
"Paulding County School District, Georgia","1304020",31171,27695,35551,27689,26332
"Peach County School District, Georgia","1304050",20257,17825,27839,30156,20211
"Pickens County School District, Georgia","1304110",25056,23588,28326,53523,16936
"Pierce County School District, Georgia","1304140",20248,20647,20129,38514,14840
"Pike County School District, Georgia","1304170",25504,24061,28291,21000,27112
"Polk County School District, Georgia","1304200",20778,21579,19977,27118,16669
"Putnam County School District, Georgia","1304260",22731,21297,27164,10595,21139
"Rabun County School District, Georgia","1304320",20117,19339,22201,29286,14653
"Randolph County School District, Georgia","1304350",13338,13753,11497,2499,10804
"Richmond County School District, Georgia","1304380",21511,18290,25815,23464,21783
"Rockdale County School District, Georgia","1304410",27065,24662,32796,29324,21033
"Rome City School District, Georgia","1304440",17422,16041,19728,26458,18651
"Schley County School District, Georgia","1304470",19513,18417,22981,53672,23606
"Screven County School District, Georgia","1304500",16891,16325,21357,8594,11172
"Social Circle City School District, Georgia","1304540",20140,18723,25313,19904,19313
"Stephens County School District, Georgia","1304560",17256,17185,17577,9405,17386
