"","GEOID","B06002_001","B06002_002","B06002_003","B06002_004","B06002_005"
"Westfield Town School District, New Jersey","3417760",41.3,28.1,46.2,38.8,49.2
"Westwood Regional School District, New Jersey","3417820",44.4,28.9,54.5,56.7,51.5
"Weymouth Township School District, New Jersey","3417850",52.8,41.7,66.9,66.9,58.4
"Wildwood City School District, New Jersey","3417940",45.2,27.2,58.5,28.3,36.5
"Wildwood Crest Borough School District, New Jersey","3417970",58.5,48.2,62.3,24.6,43.8
"Willingboro Township School District, New Jersey","3418000",39.9,23.8,52.4,47.4,48.2
"Winfield Township School District, New Jersey","3418030",42.8,41.2,61.3,68.3,52.4
"Winslow Township School District, New Jersey","3418060",38.2,29.5,50,42.7,41.7
"Woodbine Borough School District, New Jersey","3418090",40.2,28.6,53.2,54.2,39.7
"Woodbridge Township School District, New Jersey","3418120",38.9,32.3,46.3,46.9,42.3
"Woodbury City School District, New Jersey","3418150",36.7,28.4,50.7,62.6,33.4
"Woodlynne Borough School District, New Jersey","3418270",28.9,18.2,40.3,37.8,37.9
"Wood-Ridge Borough School District, New Jersey","3418300",40.9,36.6,54.2,67.1,48.5
"Woodstown-Pilesgrove Regional School District, New Jersey","3418330",43.6,42.6,43.2,31.1,62.2
"Remainder of New Jersey, New Jersey","3499999",43,33,51.4,48.4,47.8
"The Chathams School District, New Jersey","3400004",41.1,27.4,44.5,42.5,47.7
"Great Meadows Regional School District, New Jersey","3400008",40.5,37.7,46.8,54.8,54.6
"Somerset Hills Regional School District, New Jersey","3400009",41.9,31,50.8,45.1,40.3
"Absecon City School District, New Jersey","3400660",45.4,36,57.3,54.2,44.7
"Allamuchy Township School District, New Jersey","3400720",44.3,34.9,53.4,65.1,46.5
"Alpha Borough School District, New Jersey","3400840",45.5,45.4,42.1,57.3,57.2
"Alpine Borough School District, New Jersey","3400870",54.1,29.4,54.1,58.3,60.2
"Andover Regional School District, New Jersey","3400900",46.4,38.8,53,56,48.2
"Asbury Park City School District, New Jersey","3400930",35,26,54.5,51.6,35.3
"Atlantic City School District, New Jersey","3400960",35.9,21.5,54.3,49.1,42
"Audubon Borough School District, New Jersey","3401050",44.4,38.4,53.9,51.3,56.6
"Avon-by-the-Sea Borough School District, New Jersey","3401140",52.6,52.3,52.9,20.6,62.2
"Bayonne City School District, New Jersey","3401260",38.6,33.3,36.5,50.4,42.5
"Bedminster Township School District, New Jersey","3401320",47.3,39.9,54.3,38,48.2
"Belleville Town School District, New Jersey","3401350",38.8,27.9,35.2,49,47.6
"Belmar Borough School District, New Jersey","3401410",46.1,46.3,52.3,35.7,33.8
"Belvidere Town School District, New Jersey","3401440",39.8,35.5,50.2,49.8,46.8
"Bergenfield Borough School District, New Jersey","3401500",39.5,22.1,35.1,45.5,46.5
"Berkeley Heights Township School District, New Jersey","3401530",45.2,37.3,50.8,55.2,48.6
"Berlin Township School District, New Jersey","3401620",41.5,33.3,57,60.7,35.4
"Bernards Township School District, New Jersey","3401650",43.4,24.3,48.6,49.8,47.3
"Beverly City School District, New Jersey","3401740",40.9,36.8,48.8,52.5,35.7
"Bloomfield Township School District, New Jersey","3401830",37.9,29.9,40.9,48.4,47.3
"Bloomingdale Borough School District, New Jersey","3401860",44.8,34.2,53.7,51.6,51.9
"Bogota Borough School District, New Jersey","3401920",38.5,26.5,37.1,29.4,47.9
"Boonton Town School District, New Jersey","3401950",39.5,31.4,45,57.6,48.7
"Boonton Township School District, New Jersey","3401980",48,43.2,57.3,21.4,50.7
"Bordentown Regional School District, New Jersey","3402030",38.9,35.1,45.3,54.2,45.4
"Bound Brook Borough School District, New Jersey","3402100",35.1,28,44.2,48.4,39.5
"Branchburg Township School District, New Jersey","3402160",42.5,31.3,50.4,42.8,49.5
"Brick Township School District, New Jersey","3402220",44.3,38.8,53.5,43.5,49.4
"Bridgeton City School District, New Jersey","3402250",30,24.5,45.6,34.8,33.3
"Bridgewater-Raritan Regional School District, New Jersey","3402280",41.9,29.7,51,51,45.5
"Brielle Borough School District, New Jersey","3402310",47.3,46,49,47.4,49.7
"Brigantine City School District, New Jersey","3402340",50.9,34.1,59.7,61.2,47.3
"Brooklawn Borough School District, New Jersey","3402370",39.5,37.8,43.8,43.2,42.9
"Buena Regional School District, New Jersey","3402400",42.8,36.2,56,53.2,33.9
"Burlington City School District, New Jersey","3402430",41.6,33.9,49,54.7,41.9
"Burlington Township School District, New Jersey","3402460",39.1,24,49.3,31.7,47.6
"Butler Borough School District, New Jersey","3402520",38.4,36,45.3,46.1,36.1
"Caldwell-West Caldwell School District, New Jersey","3402580",43.8,38.4,50,51.4,50.9
"Camden City School District, New Jersey","3402640",28.9,19.6,44.5,48,37.8
"Carteret Borough School District, New Jersey","3402820",35.2,27.7,35.8,45.4,44.2
"Cedar Grove Township School District, New Jersey","3402850",47,43.8,55.8,52.7,52.3
"Cherry Hill Township School District, New Jersey","3403000",42,24.9,49.6,54.3,49.1
