"","GEOID","B06012_001","B06012_002","B06012_003","B06012_004","B06012_005","B06012_006","B06012_007","B06012_008","B06012_009","B06012_010","B06012_011","B06012_012","B06012_013","B06012_014","B06012_015","B06012_016","B06012_017","B06012_018","B06012_019","B06012_020"
"Westfield Town School District, New Jersey","3417760",30350,989,288,29073,15498,493,87,14918,10962,254,119,10589,359,0,6,353,3531,242,76,3213
"Westwood Regional School District, New Jersey","3417820",20349,984,888,18477,11105,225,332,10548,5596,179,76,5341,145,0,43,102,3503,580,437,2486
"Weymouth Township School District, New Jersey","3417850",2712,259,110,2343,1623,151,66,1406,853,68,44,741,28,0,0,28,208,40,0,168
"White Township School District, New Jersey","3417910",4583,217,194,4172,3032,138,157,2737,1274,47,24,1203,20,5,0,15,257,27,13,217
"Wildwood City School District, New Jersey","3417940",5234,1521,1160,2553,2102,753,316,1033,2075,291,467,1317,408,242,109,57,649,235,268,146
"Wildwood Crest Borough School District, New Jersey","3417970",3227,142,139,2946,1115,70,52,993,1787,62,80,1645,82,10,0,72,243,0,7,236
"Willingboro Township School District, New Jersey","3418000",31236,3145,2449,25642,14096,1852,1070,11174,12153,812,1081,10260,715,58,36,621,4272,423,262,3587
"Winfield Township School District, New Jersey","3418030",1566,154,93,1319,1359,132,85,1142,141,15,5,121,8,3,0,5,58,4,3,51
"Winslow Township School District, New Jersey","3418060",38331,3552,2426,32353,21241,2265,1620,17356,13428,837,499,12092,559,90,14,455,3103,360,293,2450
"Woodbine Borough School District, New Jersey","3418090",2698,780,475,1443,1805,508,314,983,634,184,121,329,187,65,36,86,72,23,4,45
"Woodbridge Township School District, New Jersey","3418120",96653,6042,5409,85202,49633,2875,2241,44517,13750,989,811,11950,1987,172,213,1602,31283,2006,2144,27133
"Woodbury City School District, New Jersey","3418150",9906,2175,676,7055,6123,1619,494,4010,3038,441,151,2446,103,24,0,79,642,91,31,520
"Woodlynne Borough School District, New Jersey","3418270",2967,738,434,1795,1428,521,154,753,363,76,15,272,281,52,26,203,895,89,239,567
"Wood-Ridge Borough School District, New Jersey","3418300",7938,436,423,7079,5522,296,260,4966,1135,43,147,945,52,0,0,52,1229,97,16,1116
