"","GEOID","B06009_001","B06009_002","B06009_003","B06009_004","B06009_005","B06009_006","B06009_007","B06009_008","B06009_009","B06009_010","B06009_011","B06009_012","B06009_013","B06009_014","B06009_015","B06009_016","B06009_017","B06009_018","B06009_019","B06009_020","B06009_021","B06009_022","B06009_023","B06009_024","B06009_025","B06009_026","B06009_027","B06009_028","B06009_029","B06009_030"
"Westfield Town School District, New Jersey","3417760",20114,640,2690,3131,7227,6426,8241,280,1389,1410,3155,2007,8352,87,668,1168,3180,3249,229,0,30,9,69,121,3292,273,603,544,823,1049
"Westwood Regional School District, New Jersey","3417820",14397,691,3575,3203,4645,2283,6076,128,1303,1695,2028,922,4974,113,1418,935,1725,783,139,0,78,18,9,34,3208,450,776,555,883,544
"Weymouth Township School District, New Jersey","3417850",2111,274,880,517,285,155,1087,125,478,259,156,69,814,85,330,243,109,47,21,5,16,0,0,0,189,59,56,15,20,39
"White Township School District, New Jersey","3417910",3717,398,1563,1189,379,188,2446,188,1051,838,225,144,974,50,460,318,102,44,20,0,0,5,15,0,277,160,52,28,37,0
"Wildwood City School District, New Jersey","3417940",3771,764,1502,888,422,195,1129,92,446,353,197,41,1847,408,780,382,214,63,209,61,75,73,0,0,586,203,201,80,11,91
"Wildwood Crest Borough School District, New Jersey","3417970",2559,127,888,584,666,294,719,40,189,214,233,43,1602,55,593,317,386,251,35,0,35,0,0,0,203,32,71,53,47,0
"Willingboro Township School District, New Jersey","3418000",20893,2011,7299,6812,3182,1589,6847,522,2285,2361,1162,517,9682,679,3564,3302,1355,782,618,151,174,181,107,5,3746,659,1276,968,558,285
"Winfield Township School District, New Jersey","3418030",1105,84,530,339,134,18,907,70,430,275,118,14,132,7,79,42,0,4,8,0,2,6,0,0,58,7,19,16,16,0
"Winslow Township School District, New Jersey","3418060",26613,2146,8724,8440,4917,2386,12183,958,4307,3992,2145,781,11249,829,3582,3441,2174,1223,452,46,169,119,64,54,2729,313,666,888,534,328
"Woodbine Borough School District, New Jersey","3418090",1785,690,611,374,70,40,1001,395,372,183,34,17,564,227,164,135,24,14,150,60,37,42,8,3,70,8,38,14,4,6
"Woodbridge Township School District, New Jersey","3418120",72897,7028,24987,15743,16329,8810,31669,1832,14200,7793,5690,2154,10945,988,4229,2945,1869,914,1777,389,689,378,241,80,28506,3819,5869,4627,8529,5662
"Woodbury City School District, New Jersey","3418150",6663,866,1996,1834,1303,664,3473,458,1172,1041,599,203,2611,253,613,707,629,409,103,36,22,24,7,14,476,119,189,62,68,38
"Woodlynne Borough School District, New Jersey","3418270",1776,449,678,507,116,26,485,74,275,86,46,4,265,56,92,94,15,8,245,50,57,127,11,0,781,269,254,200,44,14
"Wood-Ridge Borough School District, New Jersey","3418300",5705,396,1642,1488,1324,855,3518,133,1135,865,774,611,983,95,316,377,171,24,29,0,29,0,0,0,1175,168,162,246,379,220
