"","GEOID","B06010_001","B06010_002","B06010_003","B06010_004","B06010_005","B06010_006","B06010_007","B06010_008","B06010_009","B06010_010","B06010_011","B06010_012","B06010_013","B06010_014","B06010_015","B06010_016","B06010_017","B06010_018","B06010_019","B06010_020","B06010_021","B06010_022","B06010_023","B06010_024","B06010_025","B06010_026","B06010_027","B06010_028","B06010_029","B06010_030","B06010_031","B06010_032","B06010_033","B06010_034","B06010_035","B06010_036","B06010_037","B06010_038","B06010_039","B06010_040","B06010_041","B06010_042","B06010_043","B06010_044","B06010_045","B06010_046","B06010_047","B06010_048","B06010_049","B06010_050","B06010_051","B06010_052","B06010_053","B06010_054","B06010_055"
"Westfield Town School District, New Jersey","3417760",23573,3613,19960,2774,1115,1651,1607,1549,1568,904,8792,10621,1938,8683,1316,566,679,721,725,713,581,3382,9193,1076,8117,1032,363,649,651,445,651,203,4123,267,68,199,15,0,26,0,14,10,11,123,3492,531,2961,411,186,297,235,365,194,109,1164
"Westwood Regional School District, New Jersey","3417820",16674,2212,14462,1958,1153,1719,1378,1556,1679,917,4102,7808,1126,6682,1158,387,715,654,717,761,418,1872,5351,409,4942,477,399,551,530,590,547,291,1557,145,0,145,16,0,30,0,32,12,6,49,3370,677,2693,307,367,423,194,217,359,202,624
"Weymouth Township School District, New Jersey","3417850",2384,212,2172,437,152,454,295,265,248,87,234,1315,162,1153,252,101,239,125,116,119,54,147,833,45,788,112,46,177,158,103,113,17,62,28,0,28,7,0,13,0,8,0,0,0,208,5,203,66,5,25,12,38,16,16,25
"White Township School District, New Jersey","3417910",4362,389,3973,684,292,1068,515,146,560,82,626,2792,162,2630,449,186,710,322,74,401,67,421,1273,203,1070,161,83,332,164,72,81,15,162,20,0,20,5,0,0,15,0,0,0,0,277,24,253,69,23,26,14,0,78,0,43
"Wildwood City School District, New Jersey","3417940",4346,576,3770,953,493,923,436,326,276,60,303,1426,121,1305,367,116,230,170,140,87,38,157,1988,230,1758,363,267,423,238,165,170,22,110,293,26,267,142,68,54,3,0,0,0,0,639,199,440,81,42,216,25,21,19,0,36
"Wildwood Crest Borough School District, New Jersey","3417970",2810,136,2674,474,181,434,346,367,245,142,485,835,52,783,192,72,92,98,113,48,36,132,1693,74,1619,201,103,325,215,224,164,106,281,64,0,64,23,0,0,16,0,0,0,25,218,10,208,58,6,17,17,30,33,0,47
"Willingboro Township School District, New Jersey","3418000",25745,2814,22931,4714,1826,3900,2716,3520,2867,1235,2153,9755,1531,8224,2257,552,1284,864,997,1158,468,644,11142,755,10387,1661,1036,1860,1150,1727,1165,650,1138,715,54,661,93,49,109,96,77,152,28,57,4133,474,3659,703,189,647,606,719,392,89,314
"Winfield Township School District, New Jersey","3418030",1349,161,1188,136,109,216,123,209,187,60,148,1142,154,988,120,94,165,94,171,150,56,138,141,7,134,12,12,45,20,24,14,0,7,8,0,8,0,0,3,2,0,0,3,0,58,0,58,4,3,3,7,14,23,1,3
"Winslow Township School District, New Jersey","3418060",31133,3623,27510,4234,2548,3846,3066,4305,3371,1652,4488,15260,1866,13394,2552,1237,2065,1539,1944,1672,644,1741,12431,1389,11042,1342,991,1208,1249,1863,1409,723,2257,546,46,500,82,85,103,28,70,51,22,59,2896,322,2574,258,235,470,250,428,239,263,431
"Woodbine Borough School District, New Jersey","3418090",2161,174,1987,615,421,278,251,194,123,44,61,1300,139,1161,343,253,170,143,107,98,12,35,615,21,594,186,139,94,52,63,20,22,18,174,6,168,75,26,10,26,16,5,10,0,72,8,64,11,3,4,30,8,0,0,8
