"","GEOID","B06001_001","B06001_002","B06001_003","B06001_004","B06001_005","B06001_006","B06001_007","B06001_008","B06001_009","B06001_010","B06001_011","B06001_012","B06001_013","B06001_014","B06001_015","B06001_016","B06001_017","B06001_018","B06001_019","B06001_020","B06001_021","B06001_022","B06001_023","B06001_024","B06001_025","B06001_026","B06001_027","B06001_028","B06001_029","B06001_030","B06001_031","B06001_032","B06001_033","B06001_034","B06001_035","B06001_036","B06001_037","B06001_038","B06001_039","B06001_040","B06001_041","B06001_042","B06001_043","B06001_044","B06001_045","B06001_046","B06001_047","B06001_048","B06001_049","B06001_050","B06001_051","B06001_052","B06001_053","B06001_054","B06001_055","B06001_056","B06001_057","B06001_058","B06001_059","B06001_060"
"Westfield Town School District, New Jersey","3417760",30552,1977,6860,1601,2141,4731,5242,2416,811,774,1839,2160,15611,1478,4728,1164,1038,1866,2226,1017,331,207,786,770,11026,482,1944,248,648,1912,2278,1038,293,515,736,932,359,17,98,15,32,92,29,41,26,9,0,0,3556,0,90,174,423,861,709,320,161,43,317,458
"Westwood Regional School District, New Jersey","3417820",20411,879,3593,1542,1991,2375,3160,1660,565,789,1954,1903,11137,836,3150,1075,1113,1041,1413,787,224,354,461,683,5616,30,284,328,469,659,1109,625,212,250,807,843,145,0,0,6,0,60,0,16,6,0,46,11,3513,13,159,133,409,615,638,232,123,185,640,366
"Weymouth Township School District, New Jersey","3417850",2755,130,353,161,200,298,323,230,90,146,453,371,1658,130,321,120,132,244,212,138,43,69,145,104,861,0,32,15,44,37,75,81,37,67,264,209,28,0,0,7,0,0,0,0,0,0,13,8,208,0,0,19,24,17,36,11,10,10,31,50
"White Township School District, New Jersey","3417910",4775,99,465,494,364,327,648,523,145,194,773,743,3156,99,356,255,181,270,462,430,64,120,448,471,1322,0,109,239,170,36,144,91,42,45,217,229,20,0,0,0,0,0,5,0,0,0,15,0,277,0,0,0,13,21,37,2,39,29,93,43
"Wildwood City School District, New Jersey","3417940",5234,407,581,475,652,466,842,386,120,256,686,363,2102,361,353,259,217,95,352,157,18,52,171,67,2075,28,84,116,192,160,346,185,72,169,467,256,408,18,123,58,57,83,20,0,30,19,0,0,649,0,21,42,186,128,124,44,0,16,48,40
"Wildwood Crest Borough School District, New Jersey","3417970",3227,91,409,168,160,221,437,203,174,247,666,451,1115,91,228,77,84,67,105,61,70,58,182,92,1787,0,123,62,51,96,298,142,104,144,414,353,82,0,18,29,0,0,10,0,0,25,0,0,243,0,40,0,25,58,24,0,0,20,70,6
"Willingboro Township School District, New Jersey","3418000",31476,1987,4844,3752,3182,3907,4635,2086,869,990,2979,2245,14295,1714,3474,2260,1699,1586,1564,612,240,209,575,362,12179,273,1126,1098,919,1292,1963,1012,445,571,1932,1548,715,0,18,79,78,113,177,54,21,33,100,42,4287,0,226,315,486,916,931,408,163,177,372,293
"Winfield Township School District, New Jersey","3418030",1572,57,229,181,149,238,274,108,35,48,150,103,1365,57,229,172,118,218,233,99,30,42,107,60,141,0,0,9,25,8,16,9,5,6,26,37,8,0,0,0,0,0,3,0,0,0,3,2,58,0,0,0,6,12,22,0,0,0,14,4
"Winslow Township School District, New Jersey","3418060",39178,2696,7073,2796,5401,5083,6637,2780,935,1245,2727,1805,21751,2327,5348,1893,3113,3023,2444,1078,426,461,1045,593,13721,323,1406,743,1422,1487,3349,1303,414,712,1484,1078,575,13,31,79,127,44,95,122,7,12,36,9,3131,33,288,81,739,529,749,277,88,60,162,125
"Woodbine Borough School District, New Jersey","3418090",2710,249,352,324,228,357,429,312,63,80,201,115,1815,236,319,259,175,250,174,172,38,47,105,40,636,0,31,41,34,68,203,92,20,22,80,45,187,13,0,24,5,8,52,31,3,11,10,30,72,0,2,0,14,31,0,17,2,0,6,0
"Woodbridge Township School District, New Jersey","3418120",101164,6260,14920,7087,16247,14251,15963,7394,2769,3361,7143,5769,52483,5408,10947,4459,6995,5488,7113,3430,1330,1521,3085,2707,14848,535,2265,1103,1740,1512,2380,1228,434,594,1429,1628,2147,58,244,68,315,328,346,149,120,140,294,85,31686,259,1464,1457,7197,6923,6124,2587,885,1106,2335,1349
"Woodbury City School District, New Jersey","3418150",10087,768,1437,1219,1425,1151,1355,734,332,299,837,530,6235,701,1129,932,838,600,760,406,143,100,396,230,3101,67,281,142,366,461,468,298,175,159,399,285,103,0,0,0,7,0,22,0,14,31,29,0,648,0,27,145,214,90,105,30,0,9,13,15
"Woodlynne Borough School District, New Jersey","3418270",2970,174,648,372,538,472,329,132,23,83,142,57,1431,160,545,241,147,114,86,52,11,16,36,23,363,14,34,50,47,51,69,20,0,29,33,16,281,0,31,5,92,46,29,30,5,3,22,18,895,0,38,76,252,261,145,30,7,35,51,0
"Wood-Ridge Borough School District, New Jersey","3418300",7938,456,1056,721,882,1303,1326,617,182,213,591,591,5522,444,964,596,596,868,826,338,83,149,244,414,1135,0,71,81,70,154,273,142,56,26,143,119,52,12,11,0,0,0,0,0,0,0,29,0,1229,0,10,44,216,281,227,137,43,38,175,58
