"","GEOID","B06011_001","B06011_002","B06011_003","B06011_004","B06011_005"
"Westfield Town School District, New Jersey","3417760",61487,53442,75844,82734,48836
"Westwood Regional School District, New Jersey","3417820",45910,45767,47765,44570,38472
"Weymouth Township School District, New Jersey","3417850",25860,24308,26867,19688,26719
"Wildwood City School District, New Jersey","3417940",18418,23441,20668,9709,16435
"Willingboro Township School District, New Jersey","3418000",27845,25182,29672,34191,29012
"Winslow Township School District, New Jersey","3418060",35196,30997,39941,19375,37941
"Woodbine Borough School District, New Jersey","3418090",14496,14674,14067,12500,32647
"Woodbridge Township School District, New Jersey","3418120",36844,36289,33689,26607,40181
"Woodlynne Borough School District, New Jersey","3418270",18995,17849,18239,23822,18197
"Remainder of New Jersey, New Jersey","3499999",37968,35447,43786,32100,35902
"The Chathams School District, New Jersey","3400004",56083,44863,72865,106250,52452
"Great Meadows Regional School District, New Jersey","3400008",42963,43616,48750,26381,36369
"Alpha Borough School District, New Jersey","3400840",32070,33341,35179,13468,25903
"Andover Regional School District, New Jersey","3400900",34663,33602,41726,15536,45069
"Asbury Park City School District, New Jersey","3400930",21370,21615,22460,25063,20865
"Atlantic City School District, New Jersey","3400960",17404,15683,20543,12377,18006
"Bayonne City School District, New Jersey","3401260",32416,33801,36085,24600,30902
"Bedminster Township School District, New Jersey","3401320",54928,54012,61417,66500,51111
"Belleville Town School District, New Jersey","3401350",32383,32710,36098,28700,31923
"Belvidere Town School District, New Jersey","3401440",28973,31343,24567,31146,25833
"Bergenfield Borough School District, New Jersey","3401500",33935,33804,36112,24881,33141
"Berlin Township School District, New Jersey","3401620",27667,26885,30234,88750,20592
"Beverly City School District, New Jersey","3401740",28359,28382,26786,46875,30094
"Bloomfield Township School District, New Jersey","3401830",38577,35927,50432,29118,38142
"Bloomingdale Borough School District, New Jersey","3401860",37724,38168,33288,30930,41058
"Bogota Borough School District, New Jersey","3401920",35863,29875,47388,44128,32995
"Bordentown Regional School District, New Jersey","3402030",42315,41362,46289,33929,45556
"Bound Brook Borough School District, New Jersey","3402100",30833,35216,34781,30547,23989
"Branchburg Township School District, New Jersey","3402160",55621,49177,58918,48393,59340
"Brick Township School District, New Jersey","3402220",33394,32155,40433,42375,23220
"Bridgeton City School District, New Jersey","3402250",15618,13609,16451,8947,17043
"Bridgewater-Raritan Regional School District, New Jersey","3402280",45426,40237,51329,51544,52001
"Brigantine City School District, New Jersey","3402340",30078,29343,32206,24620,23201
"Buena Regional School District, New Jersey","3402400",27282,29335,28703,14967,21309
"Burlington City School District, New Jersey","3402430",29828,28486,32525,14286,22380
"Burlington Township School District, New Jersey","3402460",33509,33574,36752,36750,30605
"Camden City School District, New Jersey","3402640",16103,15866,16865,11933,19361
"Carteret Borough School District, New Jersey","3402820",28679,28856,24945,14856,30316
"Cedar Grove Township School District, New Jersey","3402850",47398,47543,50942,91813,43368
"Cherry Hill Township School District, New Jersey","3403000",41600,37347,46299,34750,38859
"Cinnaminson Township School District, New Jersey","3403120",40082,35476,42047,53194,40000
"Clark Township School District, New Jersey","3403150",44390,44560,51778,41975,41200
"Cliffside Park Borough School District, New Jersey","3403270",35848,37303,50499,57583,26825
"Clifton City School District, New Jersey","3403300",33417,36215,43577,30384,30620
"Collingswood Borough School District, New Jersey","3403420",35248,31324,38385,33233,31761
"Cresskill Borough School District, New Jersey","3403600",50622,27165,51229,77794,77346
"Delran Township School District, New Jersey","3403780",39731,35400,49164,11250,24592
"Dennis Township School District, New Jersey","3403840",28691,31078,27644,18611,20278
"Deptford Township School District, New Jersey","3403900",30551,27418,31765,45990,37192
"Dover Town School District, New Jersey","3403930",23513,26529,36058,23494,21695
"East Brunswick Township School District, New Jersey","3404110",41090,36987,49889,39286,41107
"East Newark Borough School District, New Jersey","3404200",27333,25000,26912,29063,27364
"East Orange City School District, New Jersey","3404230",24182,23121,24048,30298,25559
"East Windsor Regional School District, New Jersey","3404320",36887,40042,44818,24659,27895
"Edgewater Park Township School District, New Jersey","3404470",31448,33632,35431,70679,28667
"Edison Township School District, New Jersey","3404500",41786,34426,39008,28929,51500
"Egg Harbor Township School District, New Jersey","3404560",31185,30994,39213,28238,26127
"Elizabeth City School District, New Jersey","3404590",21425,22355,25007,18972,21180
"Elmwood Park Borough School District, New Jersey","3404660",35558,34237,39836,15250,35520
"Englewood City School District, New Jersey","3404740",36797,31306,44705,23107,34467
"Englewood Cliffs Borough School District, New Jersey","3404770",60613,53750,63875,90750,60450
"Ewing Township School District, New Jersey","3404920",30359,27651,34646,43083,30938
"Fair Lawn Borough School District, New Jersey","3404980",43522,38994,49537,50357,47142
"Fort Lee Borough School District, New Jersey","3405310",41181,40521,45229,55733,38474
"Franklin Township School District, New Jersey","3405490",41872,37468,43038,32428,50149
"Garfield City School District, New Jersey","3405760",26742,25826,30231,22708,26932
"Glassboro Borough School District, New Jersey","3405880",20813,15386,31998,17316,16250
"Glen Rock Borough School District, New Jersey","3405970",62615,46696,71023,97850,82419
"Hackensack City School District, New Jersey","3406270",32018,32751,37111,32361,30221
"Hackettstown Town School District, New Jersey","3406300",28667,34396,41844,13994,17492
"Haddon Township School District, New Jersey","3406360",40597,35287,44844,32159,47644
"Hamilton Township School District, New Jersey","3406540",35076,36204,41156,27117,26597
"Hammonton Town School District, New Jersey","3406570",27348,27477,29688,23554,26438
"Harrison Town School District, New Jersey","3406870",26836,26858,26830,21658,27008
"Hawthorne Borough School District, New Jersey","3406990",37138,35994,51463,27015,31671
"Hillsborough Township School District, New Jersey","3407230",50502,42711,55808,42422,65369
"Hillside Township School District, New Jersey","3407290",28422,24668,27386,41286,32673
"Hoboken City School District, New Jersey","3407350",66735,62382,75208,13319,80230
"Holmdel Township School District, New Jersey","3407410",52256,37885,62217,15542,65731
"Hopatcong Borough School District, New Jersey","3407440",36211,35336,37361,60139,42550
"Hope Township School District, New Jersey","3407470",41551,42321,42500,33750,34167
"Hopewell Valley Regional School District, New Jersey","3407530",58664,48037,71495,95625,77170
"Irvington Township School District, New Jersey","3407680",24083,24151,22245,19960,25096
"Jackson Township School District, New Jersey","3407740",37293,35258,41944,21912,34865
"Jefferson Township School District, New Jersey","3407800",43291,41706,50327,2499,43796
"Jersey City School District, New Jersey","3407830",31770,26090,41595,19364,33370
"Keansburg Borough School District, New Jersey","3407860",28608,28652,25364,30851,31071
"Kearny Town School District, New Jersey","3407890",30647,32224,34448,28269,29613
"Keyport Borough School District, New Jersey","3407950",29132,30756,38036,18750,23305
"Lakehurst Borough School District, New Jersey","3408160",30399,28945,41667,38750,21484
"Lakewood Township School District, New Jersey","3408220",20840,21226,24031,15643,18471
"Lawrence Township School District (Mercer County), New Jersey","3408400",36568,32186,39607,40089,38787
"Leonia Borough School District, New Jersey","3408520",43942,29360,47412,94453,43781
"Linden City School District, New Jersey","3408610",29817,29333,28261,21346,30629
"Lindenwold Borough School District, New Jersey","3408640",23611,22061,27224,28661,20070
"Little Ferry Borough School District, New Jersey","3408760",36536,30625,42679,49545,37004
"Livingston Township School District, New Jersey","3408820",56164,43875,72534,100114,61379
"Long Branch City School District, New Jersey","3408940",26662,28450,35899,21767,22997
"Lopatcong Township School District, New Jersey","3409000",34340,32639,37212,27031,41563
"Pennsville Township School District, New Jersey","3409120",32201,31730,34353,23654,26027
"Lyndhurst Township School District, New Jersey","3409210",36415,39379,41995,26833,29858
"Madison Borough School District, New Jersey","3409240",42009,33333,63269,30577,39000
"Old Bridge Township School District, New Jersey","3409270",39921,35765,43820,41324,39842
"Mahwah Township School District, New Jersey","3409330",39367,24188,54717,22560,49435
"Manchester Township School District, New Jersey","3409450",25308,26705,24593,23731,21120
"Mannington Township School District, New Jersey","3409480",24965,27625,25605,40833,16875
"Manville Borough School District, New Jersey","3409630",28290,29747,30493,18274,25782
"Matawan-Aberdeen Regional School District, New Jersey","3409750",39430,36657,49189,34107,35561
