"","GEOID","B06012_001","B06012_002","B06012_003","B06012_004","B06012_005","B06012_006","B06012_007","B06012_008","B06012_009","B06012_010","B06012_011","B06012_012","B06012_013","B06012_014","B06012_015","B06012_016","B06012_017","B06012_018","B06012_019","B06012_020"
"Somerset Hills Regional School District, New Jersey","3400009",11299,386,327,10586,5994,143,125,5726,3456,63,40,3353,143,3,0,140,1706,177,162,1367
"Absecon City School District, New Jersey","3400660",8254,594,629,7031,5050,350,374,4326,2085,56,81,1948,232,11,37,184,887,177,137,573
"Allamuchy Township School District, New Jersey","3400720",4470,152,66,4252,2581,121,57,2403,1406,31,0,1375,77,0,0,77,406,0,9,397
"Allenhurst Borough School District, New Jersey","3400780",486,20,35,431,354,9,25,320,119,0,10,109,0,0,0,0,13,11,0,2
"Alloway Township School District, New Jersey","3400810",3353,231,68,3054,2303,117,39,2147,948,96,29,823,14,0,0,14,88,18,0,70
"Alpha Borough School District, New Jersey","3400840",2302,197,205,1900,1646,126,143,1377,534,53,44,437,30,0,5,25,92,18,13,61
"Alpine Borough School District, New Jersey","3400870",1710,149,31,1530,542,110,19,413,602,19,0,583,23,7,0,16,543,13,12,518
"Andover Regional School District, New Jersey","3400900",6160,166,326,5668,3759,97,193,3469,1792,56,74,1662,52,0,16,36,557,13,43,501
"Asbury Park City School District, New Jersey","3400930",15909,5083,2308,8518,8996,3321,1248,4427,2806,780,326,1700,290,84,5,201,3817,898,729,2190
"Atlantic City School District, New Jersey","3400960",39180,14034,5367,19779,18318,7802,2191,8325,6980,1820,1005,4155,1496,719,242,535,12386,3693,1929,6764
"Audubon Borough School District, New Jersey","3401050",9791,629,462,8700,6346,396,249,5701,2980,122,157,2701,92,36,0,56,373,75,56,242
"Avalon Borough School District, New Jersey","3401110",1852,84,84,1684,400,27,23,350,1381,57,61,1263,4,0,0,4,67,0,0,67
"Avon-by-the-Sea Borough School District, New Jersey","3401140",1810,82,105,1623,1316,23,69,1224,455,46,36,373,11,6,0,5,28,7,0,21
"Barrington Borough School District, New Jersey","3401170",6776,432,519,5825,3961,241,309,3411,2607,178,210,2219,73,12,0,61,135,1,0,134
"Bay Head Borough School District, New Jersey","3401230",997,86,28,883,712,67,14,631,269,15,14,240,0,0,0,0,16,4,0,12
"Bayonne City School District, New Jersey","3401260",64700,9190,6190,49320,36884,5198,3460,28226,7801,1028,726,6047,1960,367,115,1478,18055,2597,1889,13569
"Bedminster Township School District, New Jersey","3401320",8146,256,261,7629,4202,138,138,3926,2648,57,82,2509,87,3,38,46,1209,58,3,1148
"Belleville Town School District, New Jersey","3401350",36060,3169,2279,30612,17989,1547,1029,15413,4369,321,302,3746,1693,160,125,1408,12009,1141,823,10045
"Belmar Borough School District, New Jersey","3401410",5750,650,688,4412,3848,437,348,3063,985,76,65,844,92,0,69,23,825,137,206,482
"Belvidere Town School District, New Jersey","3401440",2647,242,149,2256,1848,168,83,1597,721,67,60,594,29,7,5,17,49,0,1,48
"Bergenfield Borough School District, New Jersey","3401500",27153,2415,1561,23177,7704,633,333,6738,7680,622,403,6655,720,6,63,651,11049,1154,762,9133
"Berkeley Heights Township School District, New Jersey","3401530",12890,399,293,12198,7362,256,126,6980,3491,72,52,3367,96,0,0,96,1941,71,115,1755
"Berlin Township School District, New Jersey","3401620",5352,433,507,4412,3352,282,211,2859,1433,64,174,1195,54,7,0,47,513,80,122,311
"Bernards Township School District, New Jersey","3401650",26057,975,221,24861,12712,405,80,12227,8421,132,103,8186,172,22,0,150,4752,416,38,4298
"Beverly City School District, New Jersey","3401740",2573,260,376,1937,1634,205,288,1141,724,48,88,588,57,4,0,53,158,3,0,155
"Bloomfield Township School District, New Jersey","3401830",47078,3802,2809,40467,24835,2110,1461,21264,7487,374,307,6806,1505,211,53,1241,13251,1107,988,11156
"Bloomingdale Borough School District, New Jersey","3401860",7693,231,657,6805,5046,117,223,4706,1385,66,122,1197,179,48,0,131,1083,0,312,771
"Bloomsbury Borough School District, New Jersey","3401890",769,37,19,713,509,28,8,473,195,2,10,183,1,1,0,0,64,6,1,57
"Bogota Borough School District, New Jersey","3401920",8264,790,473,7001,3050,311,127,2612,2193,204,72,1917,209,24,0,185,2812,251,274,2287
"Boonton Town School District, New Jersey","3401950",8335,454,746,7135,4953,238,242,4473,1626,122,97,1407,92,14,55,23,1664,80,352,1232
"Boonton Township School District, New Jersey","3401980",4221,191,109,3921,2666,155,45,2466,1084,9,16,1059,51,0,0,51,420,27,48,345
"Bordentown Regional School District, New Jersey","3402030",15638,552,428,14658,10496,465,259,9772,3122,61,96,2965,257,16,0,241,1763,10,73,1680
"Bound Brook Borough School District, New Jersey","3402100",10601,907,1056,8638,5126,502,508,4116,1739,57,67,1615,236,6,0,230,3500,342,481,2677
"Bradley Beach Borough School District, New Jersey","3402130",4290,481,481,3328,2944,347,363,2234,813,31,92,690,114,51,26,37,419,52,0,367
"Branchburg Township School District, New Jersey","3402160",14547,458,110,13979,9253,299,54,8900,2984,10,35,2939,86,0,0,86,2224,149,21,2054
"Brick Township School District, New Jersey","3402220",74850,4578,5130,65142,54433,3117,3706,47610,14683,888,746,13049,901,164,41,696,4833,409,637,3787
"Bridgeton City School District, New Jersey","3402250",20828,7100,3570,10158,12443,4524,1756,6163,1982,642,278,1062,710,308,136,266,5693,1626,1400,2667
"Bridgewater-Raritan Regional School District, New Jersey","3402280",51570,2385,2037,47148,28922,1246,1213,26463,9740,423,321,8996,401,0,22,379,12507,716,481,11310
"Brielle Borough School District, New Jersey","3402310",4772,94,84,4594,3472,85,35,3352,1072,9,25,1038,44,0,0,44,184,0,24,160
"Brigantine City School District, New Jersey","3402340",9391,1112,862,7417,4520,613,449,3458,3848,315,362,3171,118,9,9,100,905,175,42,688
"Brooklawn Borough School District, New Jersey","3402370",1879,226,227,1426,1179,147,129,903,485,39,30,416,54,17,12,25,161,23,56,82
"Buena Regional School District, New Jersey","3402400",12165,1681,896,9588,7982,921,546,6515,2614,399,134,2081,512,29,194,289,1057,332,22,703
"Burlington City School District, New Jersey","3402430",9811,1018,1014,7779,5988,607,562,4819,2750,271,208,2271,165,65,35,65,908,75,209,624
"Burlington Township School District, New Jersey","3402460",21946,1352,827,19767,12472,948,482,11042,6127,248,201,5678,520,0,15,505,2827,156,129,2542
"Butler Borough School District, New Jersey","3402520",7627,349,469,6809,4998,108,215,4675,1200,32,0,1168,72,0,0,72,1357,209,254,894
"Caldwell-West Caldwell School District, New Jersey","3402580",18142,592,825,16725,12289,432,412,11445,3177,104,131,2942,253,1,51,201,2423,55,231,2137
"Camden City School District, New Jersey","3402640",74540,29310,10823,34407,45176,19365,6309,19502,10553,3505,1309,5739,9169,4135,1638,3396,9642,2305,1567,5770
"Cape May Point Borough School District, New Jersey","3402760",200,20,3,177,41,2,1,38,155,18,2,135,0,0,0,0,4,0,0,4
"Carteret Borough School District, New Jersey","3402820",23710,2749,2481,18480,11118,1389,789,8940,3584,590,443,2551,1431,141,435,855,7577,629,814,6134
"Cedar Grove Township School District, New Jersey","3402850",11719,535,269,10915,7980,288,152,7540,1763,79,50,1634,109,0,0,109,1867,168,67,1632
"Cherry Hill Township School District, New Jersey","3403000",70201,3406,2737,64058,28523,1270,1007,26246,29341,989,786,27566,833,198,44,591,11504,949,900,9655
"Chesilhurst Borough School District, New Jersey","3403030",1651,221,145,1285,915,130,67,718,565,78,23,464,36,0,4,32,135,13,51,71
