"","GEOID","B06010_001","B06010_002","B06010_003","B06010_004","B06010_005","B06010_006","B06010_007","B06010_008","B06010_009","B06010_010","B06010_011","B06010_012","B06010_013","B06010_014","B06010_015","B06010_016","B06010_017","B06010_018","B06010_019","B06010_020","B06010_021","B06010_022","B06010_023","B06010_024","B06010_025","B06010_026","B06010_027","B06010_028","B06010_029","B06010_030","B06010_031","B06010_032","B06010_033","B06010_034","B06010_035","B06010_036","B06010_037","B06010_038","B06010_039","B06010_040","B06010_041","B06010_042","B06010_043","B06010_044","B06010_045","B06010_046","B06010_047","B06010_048","B06010_049","B06010_050","B06010_051","B06010_052","B06010_053","B06010_054","B06010_055"
"Somerset Hills Regional School District, New Jersey","3400009",9109,1060,8049,1377,473,800,663,726,627,369,3014,4304,613,3691,818,184,312,268,378,334,235,1162,3058,306,2752,261,122,230,252,218,195,109,1365,115,10,105,3,12,20,0,0,20,0,50,1632,131,1501,295,155,238,143,130,78,25,437
"Absecon City School District, New Jersey","3400660",7056,715,6341,1234,434,685,972,1108,755,297,856,4027,352,3675,805,234,313,634,711,422,139,417,2022,107,1915,245,129,203,243,255,318,123,399,190,99,91,12,0,11,35,4,10,19,0,817,157,660,172,71,158,60,138,5,16,40
"Allamuchy Township School District, New Jersey","3400720",3775,258,3517,358,157,253,395,429,467,388,1070,1941,177,1764,227,111,168,250,195,296,136,381,1391,39,1352,98,23,76,104,189,125,222,515,77,0,77,0,0,0,26,20,9,0,22,366,42,324,33,23,9,15,25,37,30,152
"Allenhurst Borough School District, New Jersey","3400780",412,43,369,48,31,24,30,44,57,25,110,294,30,264,30,23,20,23,34,50,9,75,105,13,92,7,8,4,7,10,7,14,35,0,0,0,0,0,0,0,0,0,0,0,13,0,13,11,0,0,0,0,0,2,0
"Alloway Township School District, New Jersey","3400810",2751,445,2306,376,197,317,254,316,293,157,396,1846,285,1561,289,144,127,194,191,175,131,310,803,140,663,82,40,190,60,125,72,26,68,14,0,14,0,0,0,0,0,0,0,14,88,20,68,5,13,0,0,0,46,0,4
"Alpha Borough School District, New Jersey","3400840",1872,131,1741,264,161,289,201,323,227,79,197,1343,75,1268,213,85,207,147,263,165,63,125,407,42,365,46,45,57,33,51,62,16,55,30,0,30,0,22,0,3,5,0,0,0,92,14,78,5,9,25,18,4,0,0,17
"Alpine Borough School District, New Jersey","3400870",1498,292,1206,207,63,146,74,99,134,37,446,415,118,297,96,24,33,9,11,26,11,87,526,65,461,55,28,60,40,38,69,11,160,23,9,14,12,0,0,0,2,0,0,0,534,100,434,44,11,53,25,48,39,15,199
"Andover Regional School District, New Jersey","3400900",5665,548,5117,957,340,721,625,456,391,343,1284,3087,327,2760,540,231,375,343,315,190,160,606,1944,183,1761,312,86,280,177,97,117,103,589,60,10,50,17,0,15,0,2,0,0,16,574,28,546,88,23,51,105,42,84,80,73
"Asbury Park City School District, New Jersey","3400930",12577,1652,10925,2768,1159,2131,1571,1085,782,316,1113,6001,885,5116,1418,587,711,678,460,503,263,496,2564,186,2378,531,247,438,316,253,114,37,442,290,29,261,82,34,17,17,28,24,0,59,3722,552,3170,737,291,965,560,344,141,16,116
"Atlantic City School District, New Jersey","3400960",31059,5225,25834,7193,3761,5374,3306,2995,1342,428,1435,11560,2197,9363,3482,1173,1501,1079,1076,541,131,380,6585,516,6069,1290,855,1293,774,691,385,161,620,1289,157,1132,398,318,169,89,53,36,5,64,11625,2355,9270,2023,1415,2411,1364,1175,380,131,371
"Audubon Borough School District, New Jersey","3401050",8316,693,7623,1015,727,1087,1004,1070,976,472,1272,5016,510,4506,681,339,618,637,608,680,279,664,2835,124,2711,315,276,371,315,414,289,182,549,92,25,67,11,7,19,0,0,7,0,23,373,34,339,8,105,79,52,48,0,11,36
"Avalon Borough School District, New Jersey","3401110",1704,89,1615,250,154,185,193,177,117,77,462,309,42,267,9,31,37,61,27,24,20,58,1324,47,1277,232,118,137,130,150,80,57,373,4,0,4,0,0,0,0,0,0,0,4,67,0,67,9,5,11,2,0,13,0,27
"Avon-by-the-Sea Borough School District, New Jersey","3401140",1604,132,1472,191,72,215,116,170,255,98,355,1145,97,1048,114,47,190,83,112,191,82,229,420,35,385,59,25,25,33,58,58,16,111,11,0,11,6,0,0,0,0,5,0,0,28,0,28,12,0,0,0,0,1,0,15
"Barrington Borough School District, New Jersey","3401170",5791,560,5231,763,422,1030,561,675,604,282,894,3141,290,2851,504,331,529,313,337,353,145,339,2453,259,2194,242,79,459,247,313,231,137,486,73,0,73,0,12,0,0,0,0,0,61,124,11,113,17,0,42,1,25,20,0,8
"Bay Head Borough School District, New Jersey","3401230",875,70,805,91,52,70,73,96,97,42,284,625,51,574,72,34,49,48,79,73,32,187,234,16,218,15,18,21,22,17,24,10,91,0,0,0,0,0,0,0,0,0,0,0,16,3,13,4,0,0,3,0,0,0,6
