"","GEOID","B06001_001","B06001_002","B06001_003","B06001_004","B06001_005","B06001_006","B06001_007","B06001_008","B06001_009","B06001_010","B06001_011","B06001_012","B06001_013","B06001_014","B06001_015","B06001_016","B06001_017","B06001_018","B06001_019","B06001_020","B06001_021","B06001_022","B06001_023","B06001_024","B06001_025","B06001_026","B06001_027","B06001_028","B06001_029","B06001_030","B06001_031","B06001_032","B06001_033","B06001_034","B06001_035","B06001_036","B06001_037","B06001_038","B06001_039","B06001_040","B06001_041","B06001_042","B06001_043","B06001_044","B06001_045","B06001_046","B06001_047","B06001_048","B06001_049","B06001_050","B06001_051","B06001_052","B06001_053","B06001_054","B06001_055","B06001_056","B06001_057","B06001_058","B06001_059","B06001_060"
"Somerset Hills Regional School District, New Jersey","3400009",11447,629,2268,861,746,1598,2173,746,227,554,1029,616,6135,593,1679,560,366,647,769,344,122,267,546,242,3463,15,465,78,183,518,966,307,88,180,372,291,143,16,12,0,0,31,59,3,0,0,22,0,1706,5,112,223,197,402,379,92,17,107,89,83
"Absecon City School District, New Jersey","3400660",8400,382,1307,566,783,1047,1431,674,297,377,940,596,5124,346,1001,464,522,578,785,356,151,126,493,302,2150,24,139,60,135,185,420,214,139,196,389,249,232,0,42,0,18,39,70,18,0,34,0,11,894,12,125,42,108,245,156,86,7,21,58,34
"Allamuchy Township School District, New Jersey","3400720",4470,253,587,299,439,728,940,197,101,145,468,313,2581,253,505,288,235,225,563,77,31,70,256,78,1406,0,25,11,179,340,356,71,69,58,145,152,77,0,0,0,0,22,0,0,0,0,20,35,406,0,57,0,25,141,21,49,1,17,47,48
"Allenhurst Borough School District, New Jersey","3400780",486,9,82,14,79,42,81,47,16,23,59,34,354,9,58,14,48,33,43,38,14,23,50,24,119,0,24,0,20,9,38,9,2,0,7,10,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,11,0,0,0,0,0,2,0
"Alloway Township School District, New Jersey","3400810",3444,172,744,195,354,509,655,235,63,125,221,171,2394,137,568,148,228,271,533,143,57,93,128,88,948,35,176,47,115,238,94,54,6,32,68,83,14,0,0,0,0,0,14,0,0,0,0,0,88,0,0,0,11,0,14,38,0,0,25,0
"Alpha Borough School District, New Jersey","3400840",2320,91,438,144,214,314,418,194,23,110,158,216,1652,46,325,130,164,200,302,116,15,70,101,183,546,45,113,14,36,104,100,34,8,20,50,22,30,0,0,0,0,0,5,17,0,0,3,5,92,0,0,0,14,10,11,27,0,20,4,6
"Alpine Borough School District, New Jersey","3400870",1710,58,264,105,144,119,277,145,51,106,254,187,542,36,158,59,44,41,55,35,23,13,40,38,602,22,83,19,89,20,92,49,9,27,120,72,23,0,14,0,0,0,0,7,0,0,2,0,543,0,9,27,11,58,130,54,19,66,92,77
"Andover Regional School District, New Jersey","3400900",6884,384,1041,427,644,888,1285,573,180,237,663,562,4115,354,840,350,454,418,672,248,79,115,338,247,2106,30,162,75,153,271,496,239,98,101,251,230,76,0,26,2,2,0,0,16,0,0,15,15,587,0,13,0,35,199,117,70,3,21,59,70
"Asbury Park City School District, New Jersey","3400930",15933,1308,2457,1705,2812,2026,2238,887,426,388,894,792,9020,1211,2091,995,1125,901,1273,367,266,153,418,220,2806,97,194,111,397,278,491,240,101,125,327,445,290,0,0,0,44,34,89,58,18,5,13,29,3817,0,172,599,1246,813,385,222,41,105,136,98
"Atlantic City School District, New Jersey","3400960",39521,3155,6646,4066,4964,4694,6144,2455,956,1273,2716,2452,18510,2844,5087,2322,1882,1493,2148,913,188,369,589,675,7122,160,410,315,529,598,1359,602,370,346,1144,1289,1497,54,219,92,216,157,316,111,35,69,172,56,12392,97,930,1337,2337,2446,2321,829,363,489,811,432
