"","GEOID","B06009_001","B06009_002","B06009_003","B06009_004","B06009_005","B06009_006","B06009_007","B06009_008","B06009_009","B06009_010","B06009_011","B06009_012","B06009_013","B06009_014","B06009_015","B06009_016","B06009_017","B06009_018","B06009_019","B06009_020","B06009_021","B06009_022","B06009_023","B06009_024","B06009_025","B06009_026","B06009_027","B06009_028","B06009_029","B06009_030"
"Green Township School District, New Jersey","3406090",2363,95,658,651,690,269,1485,50,454,436,442,103,656,17,128,153,218,140,59,12,25,7,15,0,163,16,51,55,15,26
"Green Brook Township School District, New Jersey","3406120",5085,454,917,1032,1589,1093,2187,118,459,477,804,329,1288,193,244,284,412,155,28,3,0,25,0,0,1582,140,214,246,373,609
"Greenwich Township School District (Gloucester County), New Jersey","3406180",3675,317,1623,977,575,183,2313,174,956,667,440,76,1176,133,563,267,127,86,64,0,55,0,0,9,122,10,49,43,8,12
"Greenwich Township School District (Warren County), New Jersey","3406210",3428,105,705,839,1022,757,1715,75,402,410,518,310,1196,0,206,352,297,341,29,0,3,11,15,0,488,30,94,66,192,106
"Guttenberg Town School District, New Jersey","3406240",8129,1704,2143,1838,1582,862,1138,163,259,163,413,140,1058,70,124,367,326,171,191,38,90,19,9,35,5742,1433,1670,1289,834,516
"Hackensack City School District, New Jersey","3406270",31929,4310,9889,7360,6507,3863,8523,741,2888,2114,1685,1095,7604,575,2144,2107,1588,1190,1002,216,448,89,147,102,14800,2778,4409,3050,3087,1476
"Hackettstown Town School District, New Jersey","3406300",6369,1124,1977,1630,1116,522,3415,323,1205,978,616,293,1199,49,424,320,246,160,146,42,82,13,9,0,1609,710,266,319,245,69
"Haddon Heights Borough School District, New Jersey","3406330",5192,290,1126,1098,1724,954,2535,115,598,552,845,425,2394,156,508,500,781,449,60,6,0,16,14,24,203,13,20,30,84,56
"Haddon Township School District, New Jersey","3406360",10610,646,2691,2916,2779,1578,5242,296,1452,1596,1202,696,4659,240,1068,1183,1471,697,92,27,0,14,35,16,617,83,171,123,71,169
"Haddonfield Borough School District, New Jersey","3406390",7813,116,722,1268,3022,2685,3310,44,409,529,1394,934,4050,38,276,663,1510,1563,126,0,5,20,50,51,327,34,32,56,68,137
"Hamilton Township School District, New Jersey","3406540",63134,6940,21442,17699,11248,5805,37867,2954,13538,11521,6742,3112,12353,799,3697,3302,2801,1754,1559,284,526,473,266,10,11355,2903,3681,2403,1439,929
"Hammonton Town School District, New Jersey","3406570",10559,1526,4282,2626,1574,551,6436,539,2628,1738,1158,373,2333,345,965,621,245,157,321,121,141,54,5,0,1469,521,548,213,166,21
"Harding Township School District, New Jersey","3406720",2663,28,166,529,945,995,1275,19,100,302,513,341,1017,0,47,214,333,423,19,0,0,0,0,19,352,9,19,13,99,212
"Harmony Township School District, New Jersey","3406810",1853,115,881,426,321,110,1204,90,630,248,178,58,597,25,239,146,139,48,11,0,7,4,0,0,41,0,5,28,4,4
"Harrison Town School District, New Jersey","3406870",10130,2420,3111,1481,1598,1520,2044,233,887,424,348,152,791,98,202,158,120,213,464,201,110,44,71,38,6831,1888,1912,855,1059,1117
"Hasbrouck Heights Borough School District, New Jersey","3406930",8699,699,2770,1882,2256,1092,4500,316,1685,949,1015,535,1833,47,437,534,446,369,215,72,18,65,60,0,2151,264,630,334,735,188
